GIS_FeatureKey,Address,X,Y
Walter J. Blackburn Memorial Fountain,Mitchell A. Baran Park - 10 Riverside Dr,,
Carolinian Forest Tree Art,City Hall ,,
Cenotaph Memorial Monument,Victoria Park ,,
Engine 86,Queens Park - 925 Dundas St,,
Farquarhson Mural,Farquarhson Arena - 411 Tecumseh Ave E,,
London Wall,Ivey Park - 1 Dundas St ,,
Holy Roller,Victoria Park ,,
Japanese Centennial Sculpture,Reg Cooper Square ,,
Jubilee Square Barrel,Jubilee Square - Budweiser Gardens - 99 Dundas St ,,
Jubilee Square Water Fountain,Jubilee Square - Budweiser Gardens - 99 Dundas St ,,
Kiwanis Bandshell Sculpture,Victoria Park ,,
McMahen Park Limestone Gates,McMahen Park - 640 Adelaide St N ,,
Medway Community Mural,Medway Arena - 119 Sherwood Forest Sq ,,
People and the City Monument,460 Wellington St ,,
Quebec & Lorne Traffic Signal Box Mural,510 Quebec St ,,
Springbank Pumphouse Date Stone,Springbank Park - 950 East Springbank Gate ,,
Under the Sea Mural,Oakridge Arena - 825 Valetta St ,,
Canadian Veterans Memorial and Carillon,Victoria Park ,,
Womens Memorial Monuments,Victoria Park ,,
Crimean War Cannons,Victoria Park ,,
Pro Patria Boer War Memorial,Victoria Park ,,
Release Sculpture,Reg Cooper Square ,,
Forks Art Wall,Ivey Park - 1 Dundas St ,,
Ludwig Van Beethoven,Rose Garden - 645 Springbank Dr ,,
Tolpuddle Good Hands Sculpture,Ivey Park -  331 Thames St ,,
Racoons on Bell Box Mural,285 Queens Ave ,,
Cougar on signal box mural,442 Adelaide St N ,,
Charley Fox Memorial Sculpture,Hale St/Trafalgar St Roundabot - 1385 Trafalgar St ,,
Bradley Pedestrian Tunnel Murals,Optimist Park - 560 Bradley Ave ,,
Terry Fox Monument,109 Greenside Ave ,,
Simcoe School War Memorial,220 Simcoe St ,,
LAV III Monument,RCR Museum - 701 Oxford St E ,,
SOHO Benches,Falls View Park ,,
SOHO Benches,Meredith Park ,,
London Fallen Fire Fighter's Memorial,No. 1 Fire Hall - 400 Horton St E ,,
Soap Factory Monument,Richard B. Harrison Park - 205 South St ,,
Sentinel,Mitchell A. Baran Park - 10 Riverside Dr ,,
Fire Station No. 12 Mosaic Compass,NO. 12 Fire Station - 275 Boler Rd ,,
Fire Station No. 2 Bas-Relief Panels,No. 2 Fire Hall - 1103 Florence St ,,
Greenway Park Mural,Greenway Park - 109 Greenside Ave ,,
Oxford Street Bridge Mural,Bridge over Thames River between Talbot St and Gunn St ,,
Paul Peel Fountain Base,Dearness Home - 710 Southdale Rd E ,,
Wharncliffe Bridge Mural - Go With the Flow,Wharncliffe bridge over Thames River ,,
Tempo VII - Guy Lombardo Hydroplane Raceboat and Trailer,Canadian Jet Aircraft Museum - 2465 Aviation Lane ,,
Paul Peel Fountain (Wall),Campbell Memorial Park - 380 Dundas St ,,
Oxford Street East Gateway,Oxford St E/Veterans Memorial Pky ,,
Don Guard Monument,Jesse Davidson Park - 731 Viscount Rd ,,
Egerton Sewer Memorial,Hamilton Rd and Trafalgar St ,,
Doidge Park Monument,Doidge Park - 300 Cromwell St ,,
Lambeth Cenotaph,Lambeth Veterans Park - 4328 Colonel Talbot Rd ,,
